194	-1.000000	15.000000	288
195	-2.000000	15.000000	287
196	-3.000000	15.000000	286
197	-3.000000	14.000000	306
198	-3.000000	15.000000	286
199	-2.000000	15.000000	287
200	-2.000000	16.000000	267
201	-2.000000	17.000000	247
202	-1.000000	17.000000	248
203	-1.000000	16.000000	268
204	-1.000000	15.000000	288
205	-2.000000	15.000000	287
206	-2.000000	16.000000	267
207	-2.000000	17.000000	247
208	-2.000000	18.000000	227
209	-3.000000	18.000000	226
210	-4.000000	18.000000	225
211	-4.000000	19.000000	205
212	-4.000000	18.000000	225
213	-4.000000	19.000000	205
214	-4.000000	20.000000	185
215	-3.000000	20.000000	186
216	-4.000000	20.000000	185
217	-4.000000	21.000000	165
218	-3.000000	21.000000	166
219	-3.000000	22.000000	146
220	-3.000000	23.000000	126
221	-4.000000	23.000000	125
222	-5.000000	23.000000	124
223	-5.000000	22.000000	144
224	-6.000000	22.000000	143
225	-5.000000	22.000000	144
226	-5.000000	23.000000	124
227	-4.000000	23.000000	125
228	-4.000000	22.000000	145
229	-5.000000	22.000000	144
230	-4.000000	22.000000	145
231	-3.000000	22.000000	146
232	-3.000000	21.000000	166
233	-3.000000	20.000000	186
234	-4.000000	20.000000	185
235	-5.000000	20.000000	184
236	-5.000000	21.000000	164
237	-5.000000	20.000000	184
238	-6.000000	20.000000	183
239	-7.000000	20.000000	182
240	-7.000000	21.000000	162
241	-6.000000	21.000000	163
242	-6.000000	20.000000	183
243	-5.000000	20.000000	184
244	-5.000000	21.000000	164
245	-4.000000	21.000000	165
246	-4.000000	20.000000	185
247	-4.000000	19.000000	205
248	-4.000000	20.000000	185
249	-4.000000	19.000000	205
250	-3.000000	19.000000	206
251	-4.000000	19.000000	205
252	-4.000000	20.000000	185
253	-5.000000	20.000000	184
254	-5.000000	21.000000	164
255	-5.000000	20.000000	184
256	-5.000000	21.000000	164
257	-6.000000	21.000000	163
258	-7.000000	21.000000	162
259	-6.000000	21.000000	163
260	-5.000000	21.000000	164
261	-6.000000	21.000000	163
262	-6.000000	20.000000	183
263	-6.000000	19.000000	203
264	-6.000000	20.000000	183
265	-6.000000	21.000000	163
266	-5.000000	21.000000	164
267	-6.000000	21.000000	163
268	-5.000000	21.000000	164
269	-6.000000	21.000000	163
270	-6.000000	20.000000	183
271	-6.000000	21.000000	163
272	-7.000000	21.000000	162
273	-8.000000	21.000000	161
274	-8.000000	22.000000	141
275	-9.000000	22.000000	140
276	-9.000000	23.000000	120
277	-8.000000	23.000000	121
278	-8.000000	24.000000	101
279	-9.000000	24.000000	100
280	-9.000000	23.000000	120
281	-8.000000	23.000000	121
282	-8.000000	22.000000	141
283	-8.000000	21.000000	161
284	-9.000000	21.000000	160
285	-8.000000	21.000000	161
286	-9.000000	21.000000	160
287	-9.000000	20.000000	180
288	-9.000000	21.000000	160
289	-8.000000	21.000000	161
